15_9_2021-17-26.23.889077: [STARTUP] Bot is running!
17:28:54.743780: [CMD] mariyt#0420: '!say cock', Guild: William Shakespeare Official Fanclub, Channel: memes
18:20:59.257429: [CMD] helloimpro#2300: '!say @everyone2', Guild: William Shakespeare Official Fanclub, Channel: memes
19:00:41.076499: [CMD] eggy#6498: '!say @here', Guild: William Shakespeare Official Fanclub, Channel: memes
19:00:49.789449: [CMD] eggy#6498: '!say discord.com', Guild: William Shakespeare Official Fanclub, Channel: memes
19:00:57.145704: [CMD] eggy#6498: '!say !say e', Guild: William Shakespeare Official Fanclub, Channel: memes
19:04:35.077335: [CMD] RulyPancake#9259: '!alt', Guild: joe inc., Channel: bot
19:13:24.674635: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!ops', Guild: William Shakespeare Official Fanclub, Channel: memes
19:13:40.416255: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!ban <@829613530004586506>', Guild: William Shakespeare Official Fanclub, Channel: memes
19:20:44.675296: [CMD] RulyPancake#9259: '!alt', Guild: joe inc., Channel: bot
20:03:04.844223: [CMD] DuckDuckGo#1819: '!op', Guild: William Shakespeare Official Fanclub, Channel: memes
20:03:08.661334: [CMD] DuckDuckGo#1819: '!ops', Guild: William Shakespeare Official Fanclub, Channel: memes
20:04:12.469505: [CMD] DuckDuckGo#1819: '!deop @0x150', Guild: William Shakespeare Official Fanclub, Channel: memes
20:04:44.676671: [CMD] DuckDuckGo#1819: '!deop <@!824324885379416106>', Guild: William Shakespeare Official Fanclub, Channel: memes
20:04:54.677209: [CMD] DuckDuckGo#1819: '!ops', Guild: William Shakespeare Official Fanclub, Channel: memes
20:05:11.641108: [CMD] DuckDuckGo#1819: '!deop 824324885379416106', Guild: William Shakespeare Official Fanclub, Channel: memes
20:12:04.674761: [CMD] mariyt#0420: '!deop 824324885379416106', Guild: William Shakespeare Official Fanclub, Channel: memes
20:13:28.373389: [CMD] mariyt#0420: '!deop 824324885379416106', Guild: William Shakespeare Official Fanclub, Channel: memes
20:29:37.216063: [CMD] Ashley~#1337: '!tts boobis', Guild: William Shakespeare Official Fanclub, Channel: memes
20:29:44.676416: [CMD] Ashley~#1337: '!tts boobis boobis', Guild: William Shakespeare Official Fanclub, Channel: memes
20:29:54.676768: [CMD] Ashley~#1337: '!tts boobs boobs', Guild: William Shakespeare Official Fanclub, Channel: memes
20:50:10.661477: [CMD] DuckDuckGo#1819: '!ops', Guild: William Shakespeare Official Fanclub, Channel: memes
20:56:51.263020: [CMD] mariyt#0420: '!op <@876997333341044756>', Guild: William Shakespeare Official Fanclub, Channel: memes
20:58:18.275769: [CMD] Mathyslol2222#7067: '!tts le poisson au chocolat -l fr', Guild: William Shakespeare Official Fanclub, Channel: memes
21:37:34.677896: [CMD] mariyt#0420: '!op', Guild: William Shakespeare Official Fanclub, Channel: memes
21:37:57.479074: [CMD] mariyt#0420: '!u <@586687883839143937>', Guild: William Shakespeare Official Fanclub, Channel: memes
21:38:07.688900: [CMD] saturn5Vfive#0079: '!u <@!586687883839143937>', Guild: William Shakespeare Official Fanclub, Channel: memes
21:38:59.309229: [CMD] Frollge#8977: '!u <@618527810746712064>', Guild: William Shakespeare Official Fanclub, Channel: memes
22:00:45.157012: [CMD] DMCPACKS#9619: '!u <@!601103738924695582>', Guild: William Shakespeare Official Fanclub, Channel: memes
22:23:09.915537: [CMD] Aston#0514: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:22.511690: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:25.186216: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:27.184542: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:29.315643: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:31.545842: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:34.676286: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:39.762771: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:44.675358: [CMD] 𝓽𝓱𝓮𝓹𝓻𝓸𝓷𝓸𝓸𝓫𝓴𝓺#3751: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:28:52.607250: [CMD] Aston#0514: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
22:45:26.568507: [CMD] Asher_Y#8979: '!say asher is a sexy beast', Guild: :kek:, Channel: games
22:47:48.498563: [CMD] DMCPACKS#9619: '!nick nova', Guild: William Shakespeare Official Fanclub, Channel: memes
22:51:45.282744: [CMD] Cyanprint?#1917: '!say asher as in mihael', Guild: :kek:, Channel: games
23:35:19.310274: [CMD] DivineEssentia#7124: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
23:35:21.807059: [CMD] DivineEssentia#7124: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
23:35:25.594865: [CMD] DivineEssentia#7124: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
23:35:29.074924: [CMD] DivineEssentia#7124: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
23:37:18.359927: [CMD] Cyanprint?#1917: '!help', Guild: :kek:, Channel: music
23:40:54.681312: [CMD] TrojanSpywareAlert#1095: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
00:47:48.088439: [CMD] deutran#0386: '!alt', Guild: mc alts, Channel: alts
01:16:29.740959: [CMD] ××IceandFire××#7033: '!alt', Guild: None, Channel: Direct Message with ××IceandFire××#7033
01:16:47.836640: [CMD] ××IceandFire××#7033: '!alt', Guild: None, Channel: Direct Message with ××IceandFire××#7033
02:16:46.170037: [CMD] DMCPACKS#9619: '!nick poutaitoes', Guild: William Shakespeare Official Fanclub, Channel: memes
03:32:48.599769: [CMD] Dom.#3312: '!op <@!769708697731465256>', Guild: William Shakespeare Official Fanclub, Channel: memes
03:32:58.772526: [CMD] Dom.#3312: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
04:09:10.644323: [CMD] TexturedFuture#9837: '!u <@!818960754782765076>', Guild: William Shakespeare Official Fanclub, Channel: memes
04:17:19.101362: [CMD] TexturedFuture#9837: '!alt', Guild: None, Channel: Direct Message with TexturedFuture#9837
05:34:35.379796: [CMD] Daveee#0815: '!u <@424598691542990858>', Guild: William Shakespeare Official Fanclub, Channel: memes
05:46:18.493581: [CMD] kadmankerro#3363: '!u <@424598691542990858>', Guild: William Shakespeare Official Fanclub, Channel: memes
05:46:29.159412: [CMD] eggy#6498: '!u <@775011827410927636>', Guild: William Shakespeare Official Fanclub, Channel: memes
05:59:55.032778: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!ops', Guild: None, Channel: Direct Message with (שמוליק המלך (נטוהטאבטב#3288
06:11:37.995122: [CMD] Aston#0514: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
06:35:21.724584: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
06:35:30.175713: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!cock', Guild: William Shakespeare Official Fanclub, Channel: memes
06:49:19.998349: [CMD] mariyt#0420: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
07:00:42.316025: [CMD] doctor nefardio#7848: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
08:13:47.471877: [CMD] Asher_Y#8979: '!say <@!439187379547537418> is an amogus', Guild: :kek:, Channel: discussionings
08:29:42.298851: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!alt', Guild: joe inc., Channel: vote
08:47:41.359817: [CMD] Dopichu#1541: '!nick bob', Guild: William Shakespeare Official Fanclub, Channel: memes
10:07:17.308407: [CMD] Cyanprint?#1917: '!say really?', Guild: :kek:, Channel: games
10:07:18.065455: [CMD] Dextrose#8994: '!help', Guild: :kek:, Channel: games
12:10:59.671781: [CMD] RulyPancake#9259: '!alt', Guild: joe inc., Channel: bot
12:14:31.857236: [CMD] RulyPancake#9259: '!alt', Guild: None, Channel: Direct Message with RulyPancake#9259
12:17:39.301803: [CMD] RulyPancake#9259: '!alt', Guild: None, Channel: Direct Message with RulyPancake#9259
12:20:09.907923: [CMD] bruuh#0345: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
12:20:50.179650: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
12:23:34.678207: [CMD] helloimpro#2300: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
12:26:36.705554: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
12:26:48.681236: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!nick boob the builder', Guild: William Shakespeare Official Fanclub, Channel: memes
12:27:04.679146: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
12:33:34.678863: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
12:42:51.070554: [CMD] çal#8678: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
12:47:04.674714: [CMD] ThunderStag#1770: '!u <@816109028941365310>', Guild: William Shakespeare Official Fanclub, Channel: memes
12:47:24.680555: [CMD] ThunderStag#1770: '!u <@!885631013844291674>', Guild: William Shakespeare Official Fanclub, Channel: memes
13:24:40.320431: [CMD] (שמוליק המלך (נטוהטאבטב#3288: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
14:27:52.305927: [CMD] ××IceandFire××#7033: '!alt', Guild: None, Channel: Direct Message with ××IceandFire××#7033
14:28:48.506339: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
14:47:51.206459: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:47:54.675166: [CMD] gzeht#5884: '!PP', Guild: William Shakespeare Official Fanclub, Channel: memes
14:47:58.064497: [CMD] gzeht#5884: '!PP', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:01.522155: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:04.675199: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:06.576820: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:08.301232: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:09.943207: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:11.977734: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:14.676514: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:14.805724: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:15.982132: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:16.827183: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:20.574703: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:22.157150: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:24.675174: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:25.056198: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:26.723771: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:28.471452: [CMD] gzeht#5884: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:34.873741: [CMD] gzeht#5884: '!pp @everyone', Guild: William Shakespeare Official Fanclub, Channel: memes
14:48:44.677733: [CMD] gzeht#5884: '!nick', Guild: William Shakespeare Official Fanclub, Channel: memes
14:50:29.637785: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
15:49:14.682091: [CMD] RulyPancake#9259: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
16:05:44.733127: [CMD] doctor nefardio#7848: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
16:40:14.675119: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
16:54:04.682840: [CMD] gzeht#5884: '!iq', Guild: William Shakespeare Official Fanclub, Channel: memes
16:54:17.125971: [CMD] gzeht#5884: '!iq <@!842070308454400060>', Guild: William Shakespeare Official Fanclub, Channel: memes
16:55:34.679203: [CMD] gzeht#5884: '!iq <@!335780584078966784>', Guild: William Shakespeare Official Fanclub, Channel: memes
16:59:50.192661: [CMD] ducthang543#0248: '!iq <@335780584078966784>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:04:19.057466: [CMD] mariyt#0420: '!op <@818236132578820126>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:04:30.618335: [CMD] mariyt#0420: '!data <@818236132578820126>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:05:11.981598: [CMD] Lto#0001: '!op a', Guild: William Shakespeare Official Fanclub, Channel: memes
17:05:17.460363: [CMD] Lto#0001: '!say c', Guild: William Shakespeare Official Fanclub, Channel: memes
17:05:29.773013: [CMD] Lto#0001: '!deop <@!609551301730369547> no unban 0x', Guild: William Shakespeare Official Fanclub, Channel: memes
17:27:40.443676: [CMD] Lto#0001: '!op <@!609551301730369547>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:29:30.823112: [CMD] mariyt#0420: '!op <@609551301730369547>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:32:40.691788: [CMD] Maple39#0033: '!help', Guild: William Shakespeare Official Fanclub, Channel: memes
17:32:47.705865: [CMD] Maple39#0033: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
17:34:49.420383: [CMD] CAEC64#7370: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
17:37:17.714369: [CMD] NotDuperTrooperISwear#9025: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
17:59:21.367044: [CMD] RulyPancake#9259: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
18:19:34.681494: [CMD] -Jan-#6059: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
18:38:57.421156: [CMD] mariyt#0420: '!say cock', Guild: William Shakespeare Official Fanclub, Channel: memes
18:42:22.029343: [CMD] Smiggle1234#2594: '!help', Guild: William Shakespeare Official Fanclub, Channel: memes
18:43:18.154385: [CMD] Smiggle1234#2594: '!tts hi', Guild: William Shakespeare Official Fanclub, Channel: memes
18:43:48.684104: [CMD] Smiggle1234#2594: '!tts ur gay', Guild: William Shakespeare Official Fanclub, Channel: memes
19:17:22.015886: [CMD] eggy#6498: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
19:26:15.590391: [CMD] RulyPancake#9259: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
19:27:27.894694: [CMD] eggy#6498: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
20:33:18.968961: [CMD] du5ty#0976: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
22:39:14.677407: [CMD] TexturedFuture#9837: '!alt', Guild: None, Channel: Direct Message with TexturedFuture#9837
22:58:21.081075: [CMD] chrom#7279: '!deop <@!818236132578820126>', Guild: William Shakespeare Official Fanclub, Channel: memes
23:57:54.682255: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
00:58:49.046852: [CMD] helloimpro#2300: '!alt', Guild: None, Channel: Direct Message with helloimpro#2300
08:24:05.333450: [CMD] h13n#5783: '!alt', Guild: joe inc., Channel: vote
08:30:07.176977: [CMD] h13n#5783: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
08:32:54.675267: [CMD] h13n#5783: '!alt', Guild: joe inc., Channel: bot
08:37:30.474964: [CMD] h13n#5783: '!alt', Guild: joe inc., Channel: bot
08:39:01.186842: [CMD] h13n#5783: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
08:48:34.732042: [CMD] h13n#5783: '!alt', Guild: joe inc., Channel: bot
09:16:15.773370: [CMD] huub#8375: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
10:07:50.328993: [CMD] h13n#5783: '!alt', Guild: None, Channel: Direct Message with h13n#5783
10:08:07.748028: [CMD] h13n#5783: '!help', Guild: None, Channel: Direct Message with h13n#5783
10:34:25.773977: [CMD] Rendel#9233: '!tts giant potato', Guild: William Shakespeare Official Fanclub, Channel: memes
11:11:55.568769: [CMD] RulyPancake#9259: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
13:14:54.679254: [CMD] Penot#8329: '!spam', Guild: cox, Channel: general
14:30:06.048670: [CMD] o.k#6969: '!pp', Guild: William Shakespeare Official Fanclub, Channel: memes
14:46:00.351195: [CMD] gzeht#5884: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
15:05:54.682405: [CMD] huub#8375: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
15:06:29.286583: [CMD] DMCPACKS#9619: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
15:06:46.702034: [CMD] DMCPACKS#9619: '!check ahvuhroo@gmail.com:Finish090', Guild: William Shakespeare Official Fanclub, Channel: memes
15:11:27.322858: [CMD] huub#8375: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
